logic_peak_tj_c,interconnect_span_cells,reference_peak_tj_c,x0,y0,x1,y1,x2,y2,x3,y3,mx,my
71.1162,34.5232,72.0735,5,2,12,2,8,8,12,12,0,7
72.5306,33.3820,72.7757,4,2,12,2,8,7,12,11,1,7
72.9321,30.3965,73.0814,5,4,11,2,11,7,9,12,0,9
74.1272,29.2667,74.7991,6,4,12,2,11,7,9,12,1,8
74.2695,28.0776,74.3603,6,4,11,2,11,7,9,12,1,8
75.0862,26.9442,75.6804,5,4,9,2,11,7,10,11,1,7
75.7303,25.5807,75.7752,5,4,10,2,11,7,10,11,2,7
76.4797,25.1811,76.5267,6,4,10,2,11,7,10,11,2,7
76.8258,24.0901,77.3041,7,4,11,2,12,7,10,11,2,7
77.4542,23.1102,77.8138,7,5,11,2,12,7,10,11,2,7
81.2712,22.3764,81.4277,6,1,7,5,5,9,4,12,9,8
81.5021,19.6659,81.3523,7,6,10,4,12,7,10,11,2,7
84.5887,18.9419,83.7170,8,7,10,4,12,7,10,11,2,7
86.0667,18.7354,84.7637,5,7,10,10,11,7,8,6,1,9
86.7328,17.4108,85.4454,5,7,10,10,11,7,8,6,2,9
88.8718,16.7866,88.3129,6,8,10,10,11,7,8,6,2,9
92.0756,16.6988,90.1211,5,7,10,9,11,7,8,6,2,9
93.5721,16.0835,92.6012,5,9,10,9,8,8,7,5,1,7
94.6440,15.4666,94.1564,5,9,10,9,8,7,8,5,1,7
97.3420,14.8330,96.5705,5,9,9,9,8,7,8,5,1,7
100.2791,13.6536,99.4560,6,9,10,8,8,7,7,5,2,7
101.9105,13.1229,100.8666,5,7,10,8,8,7,8,5,2,7
104.3940,12.7909,103.4406,5,7,10,8,7,7,8,5,2,7
107.2248,11.9308,105.8634,6,8,10,7,8,8,8,5,3,7
108.6358,11.2010,107.0593,6,8,10,7,8,7,7,5,3,7
113.6765,11.1306,111.9512,6,7,10,7,8,7,7,5,3,7
116.8407,10.1430,117.5787,8,2,10,0,9,5,12,3,10,3
118.2216,8.9621,120.3820,9,2,10,0,10,5,12,2,10,4
121.4475,8.7062,121.5996,9,2,9,0,10,5,12,2,10,3
124.0431,8.3591,124.3178,9,2,10,0,10,5,12,2,10,3
126.8398,7.6548,127.3657,9,2,10,4,10,6,12,3,11,4
129.5325,7.3363,129.5388,9,2,10,2,11,5,12,3,12,4
131.5013,6.6028,131.4705,9,2,10,2,11,5,12,3,11,4
133.5139,6.5945,132.3390,9,2,10,2,10,5,12,3,11,4
133.7538,5.0359,132.6126,9,2,10,3,10,5,12,3,11,4
135.6538,4.8299,135.3946,9,2,10,3,10,5,12,3,10,4
144.3974,4.5920,143.5473,9,2,10,3,10,5,12,3,10,3
148.5199,4.1326,145.7139,9,3,10,3,10,5,12,3,10,4
157.9264,4.0743,158.5585,9,3,10,4,10,5,11,3,10,4
161.1990,3.6591,159.1106,8,2,10,2,10,2,8,3,9,3
162.7440,3.1364,161.3381,10,2,11,2,9,2,8,2,9,3
169.2629,2.8255,167.2371,10,2,11,2,9,2,8,2,9,2
169.9073,2.7994,167.9500,9,2,11,2,9,2,8,2,10,2
179.7137,2.3208,178.4077,10,3,10,3,9,3,11,3,11,3
181.6031,2.1028,182.6105,10,3,10,3,10,4,10,2,10,3
197.7044,2.0285,192.4977,10,3,10,4,10,3,10,3,10,4
197.9179,1.2971,196.5893,10,3,10,3,10,3,10,3,10,4
201.7042,0.9009,201.6086,10,3,10,3,10,3,10,3,10,3
